customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,num_services,customer_service_calls,late_payments,data_usage_gb,contract_value,satisfaction_score,region,churn
CUST_000017,72,15,53.7,805.5,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,3,0,0.0,644.4,5.0,North,0
CUST_000018,59,4,74.09,296.36,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,No,No,1,1,1,13.6,444.54,5.0,South,1
CUST_000019,27,43,46.15,1984.45,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Yes,1,2,0,10.8,276.9,5.0,North,0
CUST_000020,60,48,94.62,,One Year,Credit Card,DSL,No,No,Yes,Yes,2,4,0,70.0,1135.44,2.0,North,0
CUST_000021,66,4,49.05,196.2,One Year,Electronic Check,Fiber Optic,Yes,No,No,No,1,2,1,60.6,588.6,2.0,East,0
CUST_000022,27,36,29.9,1076.4,Month-to-Month,Bank Transfer,Fiber Optic,No,No,Yes,Yes,2,3,0,56.5,179.4,4.0,South,0
CUST_000023,52,20,33.22,664.4,One Year,Mailed Check,DSL,No,Yes,Yes,No,2,3,0,26.6,398.64,4.0,South,0
CUST_000024,53,19,68.23,1296.37,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,3,0,0.0,818.76,,South,0
CUST_000025,33,14,64.05,896.7,Month-to-Month,Electronic Check,DSL,No,No,Yes,Yes,2,0,0,222.4,384.3,4.0,South,0
CUST_000026,57,5,51.72,258.6,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,0,1,0.0,620.64,3.0,West,1
CUST_000027,63,41,42.24,1731.84,Month-to-Month,Electronic Check,DSL,Yes,Yes,No,Yes,3,1,0,10.5,253.44,4.0,North,0
CUST_000028,29,2,76.05,152.1,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No,No,1,0,1,19.1,456.3,2.0,South,0
CUST_000029,45,24,57.77,1386.48,Month-to-Month,Bank Transfer,DSL,Yes,Yes,No,Yes,3,3,0,34.1,346.62,5.0,North,0
CUST_000030,71,6,20.0,120.0,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,No,No,2,2,0,30.6,120.0,2.0,West,1
CUST_000031,55,32,62.19,1990.08,Month-to-Month,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,2,0,0.0,373.14,3.0,South,0
CUST_000032,47,18,52.24,940.32,One Year,Bank Transfer,Fiber Optic,No,Yes,No,No,1,1,0,30.8,626.88,4.0,South,1
CUST_000033,67,54,90.75,4900.5,One Year,Electronic Check,Fiber Optic,Yes,No,Yes,No,2,5,0,48.3,1089.0,1.0,North,0
CUST_000034,40,33,70.91,2340.03,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,1,0,0.0,850.92,4.0,East,0
CUST_000035,62,14,56.49,790.86,Two Year,Bank Transfer,DSL,No,Yes,No,No,1,1,0,135.6,1355.76,1.0,East,0
CUST_000036,60,44,88.03,3873.32,Month-to-Month,Bank Transfer,Fiber Optic,No,No,Yes,Yes,2,0,0,52.7,528.18,4.0,South,0
CUST_000037,25,11,87.42,961.62,One Year,Mailed Check,Fiber Optic,No,Yes,No,No,1,1,1,57.6,1049.04,4.0,East,1
CUST_000038,35,15,66.61,999.15,Two Year,Bank Transfer,DSL,Yes,Yes,Yes,Yes,4,1,1,18.8,1598.64,2.0,East,0
CUST_000039,46,21,70.63,1483.23,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No,No,1,2,0,104.0,423.78,3.0,North,1
CUST_000040,32,72,89.27,6427.44,Month-to-Month,Electronic Check,Fiber Optic,No,No,Yes,Yes,2,1,0,51.3,535.62,3.0,North,0
CUST_000041,37,27,67.23,1815.21,Two Year,Credit Card,DSL,Yes,No,Yes,No,2,2,1,3.0,1613.52,4.0,East,0
CUST_000042,40,19,54.73,1039.87,Month-to-Month,Credit Card,Fiber Optic,No,Yes,Yes,No,2,1,1,67.5,328.38,,North,0
CUST_000043,30,38,54.98,2089.24,Two Year,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,1,0,0.0,1319.52,4.0,East,0
CUST_000044,57,55,51.77,2847.35,One Year,Credit Card,No,No internet service,No internet service,No internet service,No internet service,0,2,1,0.0,621.24,,South,0
CUST_000045,31,40,38.33,1533.2,Month-to-Month,Mailed Check,DSL,Yes,No,Yes,No,2,6,0,36.9,229.98,2.0,West,1
CUST_000046,57,72,51.21,3687.12,Two Year,Electronic Check,Fiber Optic,Yes,No,Yes,Yes,3,3,1,21.9,1229.04,,West,0
CUST_000047,28,19,43.94,834.86,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,No,Yes,2,2,1,114.6,263.64,2.0,West,0
CUST_000048,21,47,48.91,2298.77,Month-to-Month,Credit Card,Fiber Optic,No,No,Yes,No,1,0,3,45.8,293.46,5.0,South,0
CUST_000049,74,48,40.1,1924.8,Month-to-Month,Mailed Check,Fiber Optic,No,No,Yes,No,1,2,1,16.7,240.6,,West,0
CUST_000050,42,63,99.41,6262.83,Two Year,Credit Card,Fiber Optic,Yes,Yes,No,No,2,0,0,59.7,2385.84,2.0,East,0
CUST_000051,25,3,40.33,120.99,Month-to-Month,Credit Card,No,No internet service,No internet service,No internet service,No internet service,0,3,2,0.0,241.98,3.0,North,1
CUST_000052,41,13,45.15,586.95,One Year,Electronic Check,No,No internet service,No internet service,No internet service,No internet service,0,0,1,0.0,541.8,3.0,West,0
CUST_000053,54,14,64.84,907.76,Month-to-Month,Electronic Check,DSL,No,Yes,No,Yes,2,2,2,19.3,389.04,1.0,West,1
CUST_000054,53,56,70.35,3939.6,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,1,1,0.0,844.2,,West,1
CUST_000055,24,18,50.27,904.86,Two Year,Credit Card,Fiber Optic,No,No,No,Yes,1,1,1,150.7,1206.48,2.0,East,0
CUST_000056,71,58,46.82,2715.56,One Year,Credit Card,Fiber Optic,No,No,Yes,Yes,2,1,1,106.6,561.84,3.0,West,0
CUST_000057,68,29,20.0,580.0,One Year,Electronic Check,Fiber Optic,Yes,Yes,Yes,No,3,0,1,54.2,240.0,2.0,West,0
CUST_000058,54,6,31.46,188.76,Month-to-Month,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,0,0,0.0,188.76,3.0,East,1
CUST_000059,47,48,89.76,4308.48,One Year,Electronic Check,No,No internet service,No internet service,No internet service,No internet service,0,1,1,0.0,1077.12,5.0,South,0
CUST_000060,31,31,81.86,2537.66,Month-to-Month,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,4,2,0.0,491.16,,East,1
CUST_000061,38,22,68.75,1512.5,Month-to-Month,Credit Card,No,No internet service,No internet service,No internet service,No internet service,0,3,0,0.0,412.5,3.0,West,1
CUST_000062,67,11,39.13,430.43,Month-to-Month,Electronic Check,DSL,No,No,No,No,0,2,0,18.7,234.78,1.0,North,0
CUST_000063,30,33,77.9,2570.7,Month-to-Month,Credit Card,DSL,No,Yes,No,No,1,1,1,6.2,467.4,3.0,West,0
CUST_000064,69,60,71.17,4270.2 ,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,5,1,0.0,854.04,4.0,North,0
CUST_000065,29,7,25.66,179.62,Month-to-Month,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,2,0,0.0,153.96,1.0,South,1
CUST_000066,65,69,36.84,2541.96,Month-to-Month,Mailed Check,DSL,No,Yes,Yes,No,2,2,0,23.3,221.04,5.0,South,1
CUST_000067,56,7,83.22,582.54,Month-to-Month,Bank Transfer,DSL,No,No,No,Yes,1,3,1,24.2,499.32,2.0,West,1
CUST_000068,29,24,72.28,1734.72,One Year,Credit Card,DSL,No,No,Yes,No,1,2,0,48.5,867.36,3.0,West,0
CUST_000069,65,22,59.83,1316.26,Month-to-Month,Mailed Check,DSL,No,No,No,Yes,1,0,0,35.5,358.98,4.0,West,0
CUST_000070,70,19,57.33,1089.27,Two Year,Electronic Check,DSL,No,Yes,No,Yes,2,0,1,70.7,1375.92,4.0,East,0
CUST_000071,30,8,107.94,863.52,Two Year,Electronic Check,DSL,Yes,No,No,No,1,3,1,24.6,2590.56,1.0,West,1
CUST_000072,44,1,64.49,64.49,Month-to-Month,Electronic Check,DSL,Yes,No,Yes,Yes,3,1,0,61.0,386.94,1.0,South,1
CUST_000073,29,31,37.31,1156.61 ,Two Year,Credit Card,DSL,Yes,No,No,No,1,2,2,76.6,895.44,5.0,East,1
CUST_000074,35,23,70.31,1617.13,One Year,Mailed Check,Fiber Optic,No,Yes,No,Yes,2,0,1,6.9,843.72,3.0,North,0
CUST_000075,55,7,124.96,874.72,Two Year,Mailed Check,Fiber Optic,No,No,No,No,0,3,3,42.1,2999.04,5.0,West,0
CUST_000076,71,8,59.76,478.08 ,One Year,Credit Card,Fiber Optic,No,Yes,No,No,1,0,1,40.7,717.12,5.0,West,0
CUST_000077,22,29,41.08,1191.32,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,Yes,No,2,1,0,35.4,246.48,4.0,East,0
CUST_000078,37,20,83.73,1674.6,Two Year,Credit Card,DSL,No,No,No,Yes,1,3,0,21.0,2009.52,3.0,North,0
CUST_000079,30,38,39.94,1517.72,One Year,Mailed Check,Fiber Optic,No,No,Yes,No,1,3,1,83.6,479.28,5.0,North,0
CUST_000080,49,12,61.38,736.56,One Year,Credit Card,Fiber Optic,No,Yes,No,No,1,3,1,59.8,736.56,2.0,South,0
CUST_000081,55,38,61.55,2338.9,Two Year,Bank Transfer,DSL,Yes,No,No,No,1,2,0,7.8,1477.2,1.0,North,0
CUST_000082,25,12,28.17,338.04,Two Year,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,2,1,0.0,676.08,2.0,East,0
CUST_000083,46,39,64.19,2503.41,Month-to-Month,Electronic Check,DSL,Yes,No,No,No,1,2,0,77.6,385.14,1.0,West,1
CUST_000084,31,19,43.38,824.22,One Year,Bank Transfer,Fiber Optic,Yes,Yes,No,Yes,3,1,0,32.4,520.56,4.0,North,0
CUST_000085,53,9,63.7,573.3,Month-to-Month,Electronic Check,Fiber Optic,No,No,Yes,Yes,2,4,0,30.5,382.2,1.0,South,0
CUST_000086,68,17,63.74,1083.58,Month-to-Month,Bank Transfer,DSL,Yes,Yes,Yes,No,3,2,1,72.5,382.44,4.0,North,0
CUST_000087,58,7,20.0,140.0,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,No,No,2,3,2,38.8,120.0,2.0,South,0
CUST_000088,71,71,45.06,3199.26,One Year,Electronic Check,DSL,No,Yes,Yes,Yes,3,1,2,45.3,540.72,2.0,East,0
CUST_000089,51,11,80.98,,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No,No,1,5,1,44.2,485.88,2.0,East,1
CUST_000090,53,60,60.47,3628.2,One Year,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,1,0,0.0,725.64,2.0,South,0
CUST_000091,68,50,57.01,2850.5,One Year,Mailed Check,Fiber Optic,Yes,Yes,No,Yes,3,5,0,26.1,684.12,3.0,North,0
CUST_000092,22,4,56.38,225.52,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,1,2,0.0,676.56,4.0,East,0
CUST_000093,29,70,32.23,2256.1,One Year,Electronic Check,Fiber Optic,No,Yes,Yes,No,2,2,0,69.2,386.76,3.0,South,1
CUST_000094,73,6,47.33,283.98,Month-to-Month,Mailed Check,DSL,No,Yes,No,No,1,2,1,110.4,283.98,1.0,West,1
CUST_000095,57,13,92.31,1200.03,Month-to-Month,Electronic Check,No,No internet service,No internet service,No internet service,No internet service,0,0,2,0.0,553.86,4.0,South,1
CUST_000096,22,7,46.28,323.96,Two Year,Electronic Check,Fiber Optic,No,No,No,No,0,1,1,24.0,1110.72,,North,0
CUST_000097,37,2,43.01,86.02,Two Year,Electronic Check,Fiber Optic,No,No,No,No,0,0,0,40.2,1032.24,5.0,East,1
CUST_000098,59,19,36.67,696.73 ,Two Year,Electronic Check,DSL,No,Yes,No,No,1,5,0,13.7,880.08,4.0,North,0
CUST_000099,19,18,42.81,770.58,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No,No,1,3,0,8.9,256.86,5.0,East,0
CUST_000100,43,25,44.19,1104.75,Month-to-Month,Credit Card,DSL,No,No,Yes,Yes,2,3,0,40.2,265.14,4.0,North,0
CUST_000101,24,30,65.13,1953.9,Month-to-Month,Credit Card,DSL,No,No,Yes,Yes,2,4,1,11.5,390.78,1.0,West,0
CUST_000102,60,31,65.33,2025.23,One Year,Mailed Check,Fiber Optic,Yes,Yes,No,No,2,1,1,15.8,783.96,5.0,North,0
CUST_000103,42,13,71.95,935.35,Month-to-Month,Electronic Check,DSL,No,Yes,No,No,1,1,1,24.6,431.7,,North,0
CUST_000104,37,28,46.45,1300.6,Month-to-Month,Credit Card,Fiber Optic,No,No,Yes,Yes,2,3,2,11.9,278.7,2.0,West,0
CUST_000105,34,40,73.35,2934.0,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,No,No,1,4,1,14.2,440.1,,South,1
CUST_000106,49,72,45.5,3276.0,Month-to-Month,Mailed Check,Fiber Optic,No,No,Yes,No,1,4,0,37.3,273.0,2.0,West,0
CUST_000107,53,22,93.23,2051.06,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No,No,1,2,1,23.4,559.38,2.0,East,1
CUST_000108,42,29,28.47,825.63,One Year,Mailed Check,Fiber Optic,No,No,Yes,Yes,2,1,0,20.7,341.64,4.0,West,0
CUST_000109,46,48,48.42,2324.16 ,One Year,Credit Card,Fiber Optic,No,No,Yes,No,1,2,0,100.0,581.04,1.0,West,0
CUST_000110,70,60,52.57,3154.2,One Year,Electronic Check,DSL,No,Yes,No,Yes,2,2,1,38.8,630.84,2.0,East,1
CUST_000111,50,18,56.96,1025.28,Month-to-Month,Credit Card,No,No internet service,No internet service,No internet service,No internet service,0,3,1,0.0,341.76,3.0,East,1
CUST_000112,48,21,48.62,1021.02,Month-to-Month,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,0,4,0.0,291.72,5.0,East,0
CUST_000113,67,12,60.12,721.44,One Year,Credit Card,DSL,Yes,Yes,Yes,Yes,4,3,0,97.8,721.44,2.0,South,0
CUST_000114,54,45,63.95,2877.75,Month-to-Month,Bank Transfer,DSL,Yes,No,Yes,No,2,1,1,80.4,383.7,5.0,North,0
CUST_000115,25,7,80.02,560.14,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,0,0,0.0,960.24,5.0,North,0
CUST_000116,51,5,80.88,,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No,No,1,0,0,95.5,485.28,4.0,South,0
CUST_000117,24,27,55.73,1504.71,Month-to-Month,Credit Card,No,No internet service,No internet service,No internet service,No internet service,0,1,0,0.0,334.38,5.0,East,0
CUST_000118,74,28,59.34,1661.52,Month-to-Month,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,0,0,0.0,356.04,2.0,South,1
CUST_000119,25,14,70.06,980.84,Month-to-Month,Electronic Check,DSL,No,No,No,No,0,2,0,58.0,420.36,3.0,North,0
CUST_000120,66,72,83.57,6017.04 ,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,No,0,4,0,36.1,501.42,3.0,North,1
CUST_000121,51,14,86.65,1213.1,One Year,Mailed Check,DSL,No,Yes,No,No,1,3,1,11.8,1039.8,2.0,West,0
CUST_000122,18,53,81.53,4321.09,Month-to-Month,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,0,0,0.0,489.18,5.0,South,0
CUST_000123,21,48,40.74,1955.52,Two Year,Mailed Check,DSL,No,No,Yes,No,1,3,1,53.4,977.76,3.0,West,0
CUST_000124,57,8,74.17,593.36,Month-to-Month,Mailed Check,DSL,No,Yes,Yes,No,2,1,0,62.1,445.02,4.0,West,0
CUST_000125,60,20,85.79,1715.8,Month-to-Month,Credit Card,DSL,No,No,No,Yes,1,2,2,13.9,514.74,3.0,East,1
CUST_000126,34,26,57.08,1484.08,Two Year,Electronic Check,DSL,Yes,Yes,No,No,2,2,0,40.8,1369.92,5.0,North,0
CUST_000127,27,52,64.85,3372.2,Month-to-Month,Credit Card,DSL,No,No,No,No,0,1,0,11.0,389.1,4.0,South,0
CUST_000128,61,27,52.33,1412.91,Two Year,Electronic Check,No,No internet service,No internet service,No internet service,No internet service,0,0,0,0.0,1255.92,5.0,North,0
CUST_000129,71,36,78.14,,Month-to-Month,Mailed Check,DSL,Yes,No,No,No,1,3,0,27.7,468.84,4.0,North,0
CUST_000130,48,12,53.41,640.92,One Year,Bank Transfer,Fiber Optic,No,No,No,No,0,1,1,3.0,640.92,3.0,South,1
CUST_000131,66,50,71.64,3582.0,Month-to-Month,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,2,0,0.0,429.84,4.0,East,0
CUST_000132,30,28,28.62,801.36,Month-to-Month,Credit Card,Fiber Optic,Yes,No,Yes,No,2,1,1,93.6,171.72,3.0,South,1
CUST_000133,44,14,20.0,280.0,Month-to-Month,Mailed Check,Fiber Optic,No,No,Yes,No,1,3,0,14.4,120.0,5.0,South,1
CUST_000134,38,27,60.52,1634.04,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,Yes,No,2,2,0,16.9,363.12,5.0,South,0
CUST_000135,41,43,77.93,3350.99,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,Yes,No,2,3,0,254.1,467.58,4.0,North,0
CUST_000136,62,52,88.0,4576.0,Month-to-Month,Mailed Check,DSL,No,No,No,No,0,4,1,35.4,528.0,,East,0
CUST_000137,38,58,102.74,5958.92,Month-to-Month,Electronic Check,DSL,No,Yes,Yes,Yes,3,3,0,145.3,616.44,3.0,South,0
CUST_000138,41,16,24.49,391.84,Month-to-Month,Electronic Check,DSL,No,No,No,Yes,1,1,0,9.6,146.94,1.0,East,1
CUST_000139,36,7,40.2,281.4,Two Year,Credit Card,Fiber Optic,Yes,No,No,No,1,2,0,91.2,964.8,,South,1
CUST_000140,28,9,75.69,681.21,Month-to-Month,Credit Card,Fiber Optic,No,No,Yes,No,1,2,1,87.1,454.14,3.0,South,0
CUST_000141,67,6,54.76,328.56 ,Month-to-Month,Mailed Check,Fiber Optic,Yes,Yes,Yes,No,3,1,0,31.0,328.56,5.0,West,1
CUST_000142,59,18,75.14,1352.52,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No,Yes,2,3,0,32.4,450.84,1.0,North,0
CUST_000143,36,11,86.66,953.26,Two Year,Mailed Check,Fiber Optic,No,Yes,Yes,Yes,3,2,2,2.9,2079.84,1.0,East,1
CUST_000144,71,19,67.67,1285.73,One Year,Credit Card,Fiber Optic,No,No,No,No,0,3,0,22.9,812.04,3.0,South,0
CUST_000145,35,38,55.91,2124.58,One Year,Bank Transfer,Fiber Optic,No,No,Yes,Yes,2,1,2,13.3,670.92,1.0,East,0
CUST_000146,63,21,76.57,1607.97,Month-to-Month,Bank Transfer,DSL,No,No,No,No,0,3,0,29.1,459.42,4.0,East,1
CUST_000147,73,16,63.29,1012.64,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,Yes,No,2,1,0,73.8,379.74,,West,1
CUST_000148,54,9,86.19,775.71,One Year,Mailed Check,DSL,No,No,Yes,No,1,1,0,21.6,1034.28,1.0,South,0
CUST_000149,54,15,93.4,1401.0,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,Yes,No,3,1,1,21.2,560.4,1.0,West,0
CUST_000150,47,21,38.22,802.62,Two Year,Bank Transfer,Fiber Optic,Yes,No,Yes,No,2,2,1,67.2,917.28,5.0,East,0
CUST_000151,69,20,40.84,816.8,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,Yes,No,3,2,0,32.3,245.04,5.0,West,0
CUST_000152,63,72,78.84,5676.48,Two Year,Credit Card,DSL,Yes,No,Yes,No,2,3,1,21.8,1892.16,2.0,South,0
CUST_000153,63,17,79.0,1343.0,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,4,1,0.0,948.0,1.0,East,0
CUST_000154,57,39,22.85,891.15,Month-to-Month,Bank Transfer,DSL,Yes,No,Yes,Yes,3,2,1,31.2,137.1,1.0,West,0
CUST_000155,19,20,56.82,1136.4,Two Year,Electronic Check,Fiber Optic,Yes,No,No,No,1,1,0,19.9,1363.68,4.0,East,0
CUST_000156,53,49,51.29,2513.21,One Year,Mailed Check,DSL,Yes,No,No,Yes,2,0,1,14.8,615.48,3.0,South,0
CUST_000157,67,14,77.21,1080.94,Month-to-Month,Mailed Check,DSL,Yes,No,No,Yes,2,1,0,43.2,463.26,4.0,North,1
CUST_000158,45,5,112.27,561.35,Month-to-Month,Credit Card,DSL,No,Yes,No,Yes,2,3,0,10.2,673.62,3.0,North,0
CUST_000159,43,24,46.25,1110.0,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,Yes,No,2,3,1,23.4,277.5,,West,1
CUST_000160,73,11,65.68,722.48,One Year,Mailed Check,Fiber Optic,No,No,Yes,No,1,2,1,57.4,788.16,2.0,East,0
CUST_000161,56,15,51.36,770.4,One Year,Mailed Check,DSL,No,Yes,No,No,1,1,0,59.8,616.32,5.0,West,0
CUST_000162,63,37,32.44,1200.28,Month-to-Month,Bank Transfer,DSL,No,No,No,No,0,2,1,47.1,194.64,4.0,South,0
CUST_000163,61,22,107.95,2374.9,One Year,Bank Transfer,DSL,Yes,Yes,Yes,Yes,4,1,0,76.1,1295.4,1.0,South,0
CUST_000164,50,62,65.09,4035.58,Two Year,Mailed Check,Fiber Optic,No,Yes,Yes,Yes,3,0,0,88.5,1562.16,3.0,South,0
CUST_000165,29,72,99.28,7148.16,One Year,Mailed Check,Fiber Optic,Yes,No,Yes,No,2,1,0,19.6,1191.36,1.0,South,0
CUST_000166,71,42,44.56,1871.52,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Yes,1,1,0,69.3,267.36,2.0,South,0
CUST_000167,44,43,88.51,3805.93,Two Year,Credit Card,Fiber Optic,No,Yes,No,No,1,3,1,31.9,2124.24,2.0,West,1
CUST_000168,64,25,31.96,,Month-to-Month,Credit Card,DSL,No,Yes,Yes,No,2,2,0,18.9,191.76,3.0,North,0
CUST_000169,43,2,73.04,146.08,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,No,No,2,0,1,92.4,438.24,5.0,North,1
CUST_000170,67,40,45.56,1822.4 ,One Year,Mailed Check,DSL,No,No,Yes,Yes,2,0,1,24.8,546.72,3.0,East,0
CUST_000171,30,21,48.03,1008.63,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No,No,1,1,0,3.6,288.18,4.0,East,0
CUST_000172,28,5,47.27,236.35,One Year,Electronic Check,Fiber Optic,Yes,No,Yes,No,2,1,0,63.8,567.24,3.0,North,1
CUST_000173,45,28,48.54,1359.12,Two Year,Electronic Check,DSL,No,No,No,Yes,1,2,2,37.0,1164.96,5.0,North,0
CUST_000174,24,14,96.35,1348.9,One Year,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,5,1,0.0,1156.2,4.0,North,0
CUST_000175,57,15,60.18,,Two Year,Credit Card,DSL,No,No,No,Yes,1,2,1,84.2,1444.32,4.0,North,0
CUST_000176,48,36,76.09,2739.24,Month-to-Month,Bank Transfer,DSL,No,No,No,No,0,1,0,19.7,456.54,4.0,East,0
CUST_000177,50,43,82.98,3568.14,Two Year,Bank Transfer,Fiber Optic,No,Yes,No,No,1,0,1,35.3,1991.52,2.0,South,0
CUST_000178,60,10,78.17,781.7,One Year,Bank Transfer,Fiber Optic,Yes,No,Yes,No,2,3,2,90.9,938.04,1.0,South,1
CUST_000179,19,65,30.71,1996.15,One Year,Credit Card,No,No internet service,No internet service,No internet service,No internet service,0,4,1,0.0,368.52,,East,0
CUST_000180,49,11,76.52,841.72,Month-to-Month,Mailed Check,Fiber Optic,No,No,No,No,0,1,0,36.0,459.12,3.0,West,0
CUST_000181,65,6,54.67,,One Year,Mailed Check,Fiber Optic,Yes,No,Yes,No,2,4,0,137.4,656.04,2.0,South,0
CUST_000182,69,32,60.89,1948.48,One Year,Mailed Check,Fiber Optic,Yes,No,Yes,No,2,1,0,77.8,730.68,4.0,North,0
CUST_000183,21,49,81.57,3996.93,One Year,Mailed Check,DSL,Yes,No,Yes,No,2,7,0,17.2,978.84,4.0,South,0
CUST_000184,70,36,50.46,1816.56,Month-to-Month,Mailed Check,DSL,No,No,No,No,0,2,1,39.3,302.76,5.0,East,0
CUST_000185,64,14,70.74,990.36,One Year,Mailed Check,DSL,Yes,Yes,No,Yes,3,3,0,87.7,848.88,2.0,South,0
CUST_000186,40,43,99.92,4296.56,Month-to-Month,Electronic Check,Fiber Optic,No,No,Yes,No,1,3,0,46.0,599.52,4.0,North,0
CUST_000187,33,28,42.16,1180.48,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No,Yes,2,2,0,89.1,252.96,4.0,North,1
CUST_000188,67,6,20.0,120.0,One Year,Mailed Check,Fiber Optic,No,Yes,Yes,No,2,3,0,42.3,240.0,5.0,West,0
CUST_000189,29,17,27.63,469.71,Two Year,Mailed Check,Fiber Optic,No,Yes,No,No,1,1,0,80.3,663.12,,North,0
